id,idiom,in_kb,usage,english_source,audio_path,hindi_reference,literal_trap_hi,pred_off,inter_off,pred_substitute,inter_substitute,pred_append,inter_append
t0000,sit on the fence,1,figurative,"This did not mean sitting on the fence but , in theory , jumping to and fro .",audio/t0000.mp3,"इसका मतलब बाड़ पर बैठना नहीं था, बल्कि सिद्धांत रूप में इधर-उधर कूदना था।",बैठो,"इसका मतलब यह नहीं था कि वे बाड़ पर बैठे , बल्कि सिद्धांत रूप में , कूदते-कूदते थे .","This did not mean sitting on the fence but , in theory , jumping to and fro .","इसका मतलब यह नहीं था कि वे बाड़ पर बैठे , बल्कि सिद्धांत रूप में , कूदते-कूदते थे .","This did not mean sitting on the fence but , in theory , jumping to and fro .","इसका मतलब यह नहीं था कि वे बाड़ पर बैठे , बल्कि सिद्धांत रूप में , कूदते-कूदते थे .","This did not mean sitting on the fence but , in theory , jumping to and fro ."
t0001,read between the lines,1,figurative,"Reading between the lines , I suspect that Rodney has never quite forgiven either of them . '",audio/t0001.mp3,बातों के बीच का मतलब समझकर मुझे शक है कि रॉडनी ने उन दोनों में से किसी को भी कभी पूरी तरह माफ़ नहीं किया।,लीन|पंक्तियाँ|पढ़ना,मैं लाइनों के बीच पढ़कर मुझे संदेह है कि रॉडनी ने कभी भी उन दोनों को पूरी तरह से क्षमा नहीं किया है . ',"Reading between the lines , I suspect that Rodney has never quite forgiven either of them . '","छिपे हुए अर्थ को समझते हुए , मुझे संदेह है कि रॉडनी ने कभी भी उनमें से किसी को भी पूरी तरह से क्षमा नहीं किया है . '","understand the hidden meaning , I suspect that Rodney has never quite forgiven either of them . '",(अच्छा समझिए) मुझे लगता है कि रॉडनी ने दोनों को कभी माफ नहीं किया है .,"Reading between the lines (understand the hidden meaning) , I suspect that Rodney has never quite forgiven either of them . '"
t0002,throw caution to the wind,1,figurative,"Their combination of styles can lead to blandness occasionally , but when the Circus throw caution to the wind they can be both powerful and inventive .",audio/t0002.mp3,"कभी-कभी उनकी शैली का मेल फीका पड़ जाता है, लेकिन जब सर्कस पूरी तरह जोखिम उठाता है, तो उनका प्रदर्शन बेहद प्रभावशाली और रचनात्मक होता है।",सावधानी|फेंकना|हवा,"उनकी शैली का संयोजन कभी-कभी बेशर्मता का कारण बन सकता है , लेकिन जब सर्कस हवा को सावधानी से फेंकता है तो वे शक्तिशाली और आविष्कारक दोनों हो सकते हैं .","Their combination of styles can lead to blandness occasionally , but when the Circus throw caution to the wind they can be both powerful and inventive .","उनके शैलियों का संयोजन कभी-कभी बेशर्मता का कारण बन सकता है , लेकिन जब सर्कस लापरवाही से काम करता है तो वे शक्तिशाली और आविष्कारक दोनों हो सकते हैं .","Their combination of styles can lead to blandness occasionally , but when the Circus act recklessly they can be both powerful and inventive .","उनकी शैली का संयोजन कभी-कभी बेशर्मता का कारण बन सकता है , लेकिन जब सर्कस सावधानी बरतते हैं (बदलाबदली से कार्य करते हैं) वे शक्तिशाली और आविष्कारक दोनों हो सकते हैं .","Their combination of styles can lead to blandness occasionally , but when the Circus throw caution to the wind (act recklessly) they can be both powerful and inventive ."
t0003,break the ice,1,figurative,He does n't have to break any ice because they 're all pals .,audio/t0003.mp3,उसे किसी तरह की झिझक दूर करने की ज़रूरत नहीं है क्योंकि वे सब पहले से ही दोस्त हैं।,ब्रेक|बर्फ,उसे बर्फ नहीं तोड़नी है क्योंकि वे सभी दोस्त हैं .,He does n't have to break any ice because they 're all pals .,उसे बर्फ नहीं तोड़नी है क्योंकि वे सभी दोस्त हैं .,He does n't have to break any ice because they 're all pals .,उसे बर्फ नहीं तोड़नी है क्योंकि वे सभी दोस्त हैं .,He does n't have to break any ice because they 're all pals .
t0004,make ends meet,1,figurative,Some employers will cease the opportunity as a chance to pay less and thereby making it even more difficult to make ends meet .,audio/t0004.mp3,"कुछ नियोक्ता इसे कम वेतन देने का अवसर मानेंगे, जिससे लोगों के लिए गुज़ारा करना और भी कठिन हो जाएगा।",अंत|बनाने|मिलना,कुछ नियोक्ता कम भुगतान करने के अवसर के रूप में अवसर को समाप्त कर देंगे और इस प्रकार अंतराल को पूरा करना और भी कठिन बना देंगे .,Some employers will cease the opportunity as a chance to pay less and thereby making it even more difficult to make ends meet .,कुछ नियोक्ता कम भुगतान करने के अवसर के रूप में अवसर को समाप्त कर देंगे और इस प्रकार जीवित रहने के लिए पर्याप्त धन प्राप्त करना और भी कठिन बना देंगे .,Some employers will cease the opportunity as a chance to pay less and thereby making it even more difficult to have just enough money to live .,कुछ नियोक्ता कम भुगतान करने के अवसर के रूप में अवसर को समाप्त कर देंगे और इस प्रकार अंतराल को पूरा करना और भी कठिन बना देंगे (जीवने के लिए सिर्फ पर्याप्त धन है) ।,Some employers will cease the opportunity as a chance to pay less and thereby making it even more difficult to make ends meet (have just enough money to live) .
t0005,pass the buck,1,figurative,LONDON – Politicians are masters at “ passing the buck . ”,audio/t0005.mp3,लंदन – राजनेता ज़िम्मेदारी टालने में माहिर होते हैं।,बक्सा|पास,लन्दन  राजनेता पैसे को पारित करने में मास्टर हैं,LONDON – Politicians are masters at “ passing the buck . ”,लन्दन  राजनीतिज्ञ किसी और पर जिम्मेदारी स्थानांतरित करने के लिए मास्टर हैं,LONDON – Politicians are masters at “ shift responsibility to someone else . ”,लन्दन  राजनेता  पैसे देने में मास्टर हैं (जिम्मेदारी किसी और को स्थानांतरित करें),LONDON – Politicians are masters at “ passing the buck (shift responsibility to someone else) . ”
t0006,out of the blue,1,figurative,Right out of the blue .,audio/t0006.mp3,यह बिल्कुल अचानक हुआ।,नीला,अचानक .,Right out of the blue .,सही अप्रत्याशित रूप से .,Right unexpectedly .,अचानक (अपेक्षित रूप से) ।,Right out of the blue (unexpectedly) .
t0007,out of the blue,1,figurative,"How would you like to be an innocent old woman quietly doing your knitting , and then get a letter like that out of the blue?’",audio/t0007.mp3,"सोचिए, आप एक शांत वृद्ध महिला हों, आराम से बुनाई कर रही हों, और फिर अचानक ऐसा पत्र मिल जाए।",नीला,"आप एक निर्दोष बूढ़ी औरत के रूप में चुपचाप अपने बुनाई करना पसंद करेंगे, और फिर अचानक से एक पत्र प्राप्त?","How would you like to be an innocent old woman quietly doing your knitting , and then get a letter like that out of the blue?’","आप एक निर्दोष बूढ़ी औरत के रूप में चुपचाप अपने बुनाई करना पसंद करेंगे, और फिर अप्रत्याशित रूप से एक पत्र प्राप्त?","How would you like to be an innocent old woman quietly doing your knitting , and then get a letter like that unexpectedly?’","आप एक निर्दोष बूढ़ी औरत के रूप में चुपचाप अपने बुनाई करना पसंद करेंगे , और फिर अचानक (अपेक्षित रूप से) एक पत्र प्राप्त होगा ?","How would you like to be an innocent old woman quietly doing your knitting , and then get a letter like that out of the blue (unexpectedly)?’"
t0008,in hot water,1,figurative,A DRUNKEN rowing eight from an Oxford college ended up in hot water after holding a late - night training session … in the nude .,audio/t0008.mp3,एक ऑक्सफ़ोर्ड कॉलेज की नशे में धुत नाविक टीम देर रात बिना कपड़ों के अभ्यास करने के कारण मुसीबत में पड़ गई।,गर्म|जल,ऑक्सफोर्ड कॉलेज से एक नशे में 8वीं के रिंगिंगर को देर रात प्रशिक्षण सत्र के बाद गर्म पानी में पाया गया ... नग्न .,A DRUNKEN rowing eight from an Oxford college ended up in hot water after holding a late - night training session … in the nude .,ऑक्सफोर्ड कॉलेज के एक नशे में डूबे आठों के एक छात्र ने देर रात प्रशिक्षण सत्र आयोजित करने के बाद ... नंगा होने के बाद मुसीबत में पड़ गया .,A DRUNKEN rowing eight from an Oxford college ended up in trouble after holding a late - night training session … in the nude .,ऑक्सफोर्ड कॉलेज के एक शराबी आठवीं के नाविक को देर रात प्रशिक्षण सत्र के बाद ... नंगा होकर गर्म पानी में (कड़ी मुसीबत में) गिरना पड़ा .,A DRUNKEN rowing eight from an Oxford college ended up in hot water (in trouble) after holding a late - night training session … in the nude .
t0009,read between the lines,1,figurative,"Harriet , reading between the lines , knew exactly what her daughter meant .",audio/t0009.mp3,हैरियट ने बातों के बीच का मतलब समझ लिया और ठीक-ठीक जान गई कि उसकी बेटी क्या कहना चाहती थी।,लीन|पंक्तियाँ|पढ़ना,"हारीट , लाइनों के बीच पढ़ रही थी , ठीक से जानती थी कि उसकी बेटी का क्या मतलब था .","Harriet , reading between the lines , knew exactly what her daughter meant .","हैरीट , छिपे हुए अर्थ को समझें , ठीक से जानते थे कि उनकी बेटी का क्या मतलब था .","Harriet , understand the hidden meaning , knew exactly what her daughter meant .","हारीट , जो लाइनों के बीच पढ़ रही थी (छिपे हुए अर्थ को समझें) , ठीक-ठीक जानती थी कि उसकी बेटी का क्या मतलब था .","Harriet , reading between the lines (understand the hidden meaning) , knew exactly what her daughter meant ."
t0010,pull the plug,1,figurative,"‘ They 'll pull the plug , no matter what the law says.’",audio/t0010.mp3,"उन्होंने कहा, ""वे चाहे कानून कुछ भी कहे, आखिरकार इस योजना को बंद कर देंगे।""",प्लग|खींचें,"वे प्लग को बाहर निकाल देंगे , चाहे कानून क्या कहे .","‘ They 'll pull the plug , no matter what the law says.’","वे कुछ को समाप्त कर देंगे , चाहे कानून क्या कहे .","‘ They 'll put an end to something , no matter what the law says.’","वे प्लग को खींच लेंगे (किसी चीज को समाप्त कर देंगे), चाहे कानून क्या कहे।","‘ They 'll pull the plug (put an end to something) , no matter what the law says.’"
