id,idiom,trap_words,gold
t0000,sit on the fence,बैठो,"इसका मतलब बाड़ पर बैठना नहीं था, बल्कि सिद्धांत रूप में इधर-उधर कूदना था।"
t0001,read between the lines,लीन|पंक्तियाँ|पढ़ना,बातों के बीच का मतलब समझकर मुझे शक है कि रॉडनी ने उन दोनों में से किसी को भी कभी पूरी तरह माफ़ नहीं किया।
t0002,throw caution to the wind,सावधानी|फेंकना|हवा,"कभी-कभी उनकी शैली का मेल फीका पड़ जाता है, लेकिन जब सर्कस पूरी तरह जोखिम उठाता है, तो उनका प्रदर्शन बेहद प्रभावशाली और रचनात्मक होता है।"
t0003,break the ice,ब्रेक|बर्फ,उसे किसी तरह की झिझक दूर करने की ज़रूरत नहीं है क्योंकि वे सब पहले से ही दोस्त हैं।
t0004,make ends meet,अंत|बनाने|मिलना,"कुछ नियोक्ता इसे कम वेतन देने का अवसर मानेंगे, जिससे लोगों के लिए गुज़ारा करना और भी कठिन हो जाएगा।"
t0005,pass the buck,बक्स|पास,लंदन – राजनेता ज़िम्मेदारी टालने में माहिर होते हैं।
t0006,out of the blue,नीला,यह बिल्कुल अचानक हुआ।
t0007,out of the blue,नीला,"सोचिए, आप एक शांत वृद्ध महिला हों, आराम से बुनाई कर रही हों, और फिर अचानक ऐसा पत्र मिल जाए।"
t0008,in hot water,गर्म|जल,एक ऑक्सफ़ोर्ड कॉलेज की नशे में धुत नाविक टीम देर रात बिना कपड़ों के अभ्यास करने के कारण मुसीबत में पड़ गई।
t0009,read between the lines,लीन|पंक्तियाँ|पढ़ना,हैरियट ने बातों के बीच का मतलब समझ लिया और ठीक-ठीक जान गई कि उसकी बेटी क्या कहना चाहती थी।
t0010,pull the plug,प्लग|खींचें,"उन्होंने कहा, ""वे चाहे कानून कुछ भी कहे, आखिरकार इस योजना को बंद कर देंगे।"""
t0011,read between the lines,लीन|पंक्तियाँ|पढ़ना,"लेकिन अगर बातों के बीच का मतलब समझें, तो मुझे लगता है कि मार्क उसका साथ नहीं छोड़ेगा।"
t0012,by the book,पुस्तक,"हाँ, तुम इसे पूरी तरह नियमों के अनुसार नहीं कर सकते।"
t0013,hit the sack,सैक,तुम्हारे पति को सोने से पहले थोड़ा आराम करने की ज़रूरत है।
t0014,sit on the fence,बाड़|बैठो,"मेरा मतलब है, हर समय तटस्थ बने रहने से तो उन्हें बैठने में भी तकलीफ़ होने लगी होगी।"
t0015,call the shots,कॉल|शॉट,डेट्रॉइट का हर देश के लाइन मैनेजरों से सीधा संपर्क होगा और सारे फैसले वहीं से लिए जाएँगे।
t0016,in a nutshell,संक्षिप्त,संक्षेप में समस्या यह है कि क्या वैज्ञानिक और धार्मिक प्रतिबद्धताओं के कुछ रूप अलग-अलग सामाजिक और आर्थिक परिवर्तनों पर निर्भर हो सकते हैं।
t0017,over the moon,चंद्रमा,पर्दा उठने से ठीक पहले स्टानिस्लॉस का तार आया और बैब्स खुशी से झूम उठी।
t0018,rule of thumb,अंगूठा,आमतौर पर हम एक सामान्य नियम अपनाते हैं कि यदि टी-अनुपात दो से कम हो तो उसे सांख्यिकीय रूप से महत्वपूर्ण नहीं माना जाता।
t0019,turn a blind eye,अंधा|आँख|घुमा,डार्सी के आदर्श समाज में विभिन्न संप्रदायों की धार्मिक सेवाएँ होंगी और कुछ बातों को निश्चित रूप से अनदेखा किया जाएगा।
t0020,cut corners,कोने|कटौती,"अगर मैं थोड़ी बचत करूँ, तो शनिवार को खरीदारी के लिए मेरे पास कुछ पैसे बच जाएँगे।"
t0021,off the hook,हुक,"अगर तुम्हें मेरे बताए जैसा कोई व्यक्ति मिल जाए, तो तुम्हें इस ज़िम्मेदारी से छुटकारा मिल जाएगा।"
t0022,rule of thumb,अंगूठा,मूल्यांकन की दोबारा जाँच सामान्य नियमों के आधार पर की गई।
t0023,hold your horses,रखो|घोड़े,"ज़रा धैर्य रखिए, श्री कर्टिस।"
t0024,out of the blue,नीला,"जब ओली लगभग 18 महीने का हुआ, तो अचानक उनके बीच पहली गंभीर लड़ाई हो गई।"
t0025,call it a day,कॉल|दिन,आख़िर में उसने पिकरेज को चप्पल से मारा और वहीं बात खत्म कर दी।
t0026,see eye to eye,आँख|देखें,मैं हर मुद्दे पर टॉड से सहमत नहीं हूँ।
t0027,back to the drawing board,पीठ|बोर्ड|चित्र,मैंने मेसरश्मिट से कहा कि उसे फिर से शुरुआत करके डिज़ाइन पर दोबारा काम करना चाहिए।
t0028,on the ball,गेंद,उफ़! अच्छा हुआ कि मैं पूरी तरह सतर्क था।
t0029,back to the drawing board,पीठ|बोर्ड|चित्र,इस तरह के जीवन चक्र की एक महत्वपूर्ण बात यह है कि इससे मानो फिर से शुरुआत करके योजना बनाने का अवसर मिलता है।
t0030,read between the lines,लीन|पंक्तियाँ|पढ़ना,"बातों के बीच का मतलब समझा जा सकता था, और कई लोगों ने समझ भी लिया।"
